query,answer,reference,reference
When is an on-duty leave applicable?," An on-duty leave is applicable when an employee is unable to perform their job duties due to a personal or family emergency, illness, or other unexpected circumstances. The specific rules and policies regarding on-duty leave may vary depending on the organization and employment contract. It is recommended to refer to the organization's policies or consult with a HR representative for clarification."," An on-duty leave is applicable when an employee is required to perform their official duties during the leave period. This can include attending meetings, training sessions, or other work-related activities. However, the specific terms and conditions of an on-duty leave may vary depending on the company's policies and the individual employee's job duties. It is important for employees to understand their organization's policies regarding on-duty leaves to ensure they are taking the correct leave when needed.",On duty leave is applicable when the student is expected to perform PhD project work at an off-campus site without a formal agreement. 
How many members are present in the Departmental Research Committee (DRC)?," To determine the number of members present in the Departmental Research Committee (DRC), we need to analyze the context provided:

1. In the context, we can see that the Departmental Research Committee (DRC) is mentioned several times, but there is no explicit statement regarding the number of members present in it.
2. Similarly, the context mentions the Department of Technology and Science at BITS Pilani campus, but it does not provide any information about the number of members present in the department.
3. Therefore, we cannot determine the number of members present in the Departmental Research Committee (DRC) based on the given context.

In conclusion, we cannot answer the question with the information provided.", The number of members present in the Departmental Research Committee (DRC) is not mentioned in the given context.,"The DRC consists of the Head of Department (HOD) as ex-officio member and Chairperson, and 2 to 6 faculty members, at the level of Assistant Professor or above, who are active in research. The size of DRC may depend on the number of faculty members in the Department."
What is the term of DRC members?, The provided context does not mention the term of DRC (Doctoral Research Committee) members., The term of DRC (Doctoral Review Committee) members is not mentioned in the provided context.,The term of the DRC members is 2 years
How many credits should a PhD candidate holding only a first degree be prescribed?, It is not specified in the given context how many credits a PhD candidate holding only a first degree should be prescribed., The number of credits prescribed for a PhD candidate holding only a first degree will depend on the specific academic institution and program. It is important to note that the requirement for credit hours may vary widely depending on the program and institution. It is recommended to check with the academic institution or program for the specific credit hour requirements.," Students holding first degree (B.Tech, B.E., M A, M.Sc etc.) must be prescribed a minimum of six courses spread in two semesters with a minimum of 24 units."
Is vertical transfer from B.Tech/M.Tech to PhD possible?," Yes, vertical transfer from B.Tech/M.Tech to PhD is possible in some institutions. However, the admission requirements and procedures may vary depending on the institution and program. It is important to research and understand the specific requirements for each program and institution before applying."," Yes, vertical transfer from B.Tech/M.Tech to PhD is possible at BITS Pilani. Students who have completed their B.Tech/M.Tech program with a minimum of 75% marks in their final year and have at least one year of relevant work experience can apply for the PhD program. The admission process for this transfer program is similar to the regular PhD program, with the exception that the student's B.Tech/M.Tech degree will be considered as their first degree.","Yes. Selection & recommendation of vertical transfer students should be done by the HOD/DRC, only after their source of fellowship/funding is identified and approved."
How much should a student secure to pass the PhD qualifying examination? ," To pass the PhD qualifying examination, a student needs to secure at least a total of 200 marks out of 200 marks. This can be determined by looking at the extracted table for the evaluation sheet of the PhD qualifying examination, where the column ""Recommendation"" indicates whether a candidate has passed or failed the examination based on their total marks obtained."," The table extracted from the text appears to be an evaluation form for a PhD qualifying examination at BITS Pilani. The form includes details such as the candidate's name, ID number, and the date of the examination. It also includes questions related to the candidate's research subarea and the marks obtained in the theory and viva voce sections of the examination. The form includes a recommendation section, where the examiner can indicate whether the candidate passed or failed the examination.

Based on the information provided in the table, it is not clear what the passing score for the PhD qualifying examination is. It is possible that the passing score is determined based on the marks obtained in the theory and viva voce sections of the examination, as well as the recommendation of the examiner. However, without more information, it is not possible to determine the exact passing score for the PhD qualifying examination at BITS Pilani.",The rigor & quality of Ph. D qualifying examination is the responsibility of individual DRC�s. The student has to secure a minimum of 50% in individual sub areas. 
What are the proposed sub-areas for PhD Qualifying examination for the CS&IS department?, The sub-areas for PhD qualifying examination in the CS&IS department are not specified in the given context or tables.," Based on the provided context, the sub-areas for the PhD Qualifying examination for the CS&IS department are not explicitly mentioned. However, the extracted table shows that the sub-areas for the PhD Qualifying examination are Research Subarea and Full, and candidates are required to provide marks obtained in both theory and viva.","AI, Machine Learning & Data Mining  Computer Architecture, Embedded Systems & Robotics  Databases & Data Warehousing CS/IS  High Performance & Distributed Computing  Image Processing & Multimedia  Networking & Mobile Computing  Algorithms Theoretical Computer Science "
What steps should be taken in case of a change in supervisor of a PhD student?," If the supervisor of a PhD student changes, the following steps should be taken:

1. The student should inform the Department Research Committee (DRC) of the change in supervisor.
2. The student should update their research proposal outline and submit it to the DRC.
3. The student should inform the DRC of any changes in the research plan, timeline, or budget.
4. The student should update their research proposal summary page and submit it to the DRC.
5. The student should update their appendix, which should include the new supervisor's bio-data and consent.
6. The student should inform the DRC of any changes in the fellowship sponsor, source, and amount.
7. The student should submit a research proposal presentation notice to the DRC, which should include the name, ID, and date of the presentation."," In case of a change in supervisor of a PhD student, the following steps should be taken:

1. Update the DAC (Doctoral Admission Committee) records.
2. Notify the new supervisor about the change.
3. Update the student's work topic and the place of work.
4. Update the student's supervisor and co-supervisor in the DAC records.
5. Get the signatures of the supervisor/co-supervisor and the student on the revised copies of the table1, table2, and table4.
6. Provide the revised copies to the university's records office for updating.","A fresh approval of the University level Doctoral Counseling Committee based at Pilani, is required for any changes in topic of research and/or supervisor. Candidate has to request through supervisor and DRC to Associate Dean AGSRD, who will forward the request to Dean, AGSRD for approval of DCC/Research Board."
"For submitting an industry research proposal, what are the different budget heads?"," The budget heads for submitting an industry research proposal are not specified in the provided context. However, it is recommended to include a detailed budget in the research proposal, outlining the expected expenses for each budget head, such as research materials, equipment, salaries for researchers, and travel expenses."," for submitting an industry research proposal, what are the different budget heads? 

For submitting an industry research proposal, the budget heads may include:

* Equipment and materials costs
* Travel and transportation expenses
* Salaries and wages for fieldwork personnel
* Software and computer hardware costs
* Supplies and consumables
* Office space and equipment
* Marketing and advertising expenses
* Insurance and liability costs
* Miscellaneous expenses, such as training and development or conference attendance fees. It's important to note that the specific budget heads will depend on the research topic and the industry in which the research is being conducted.","Equipment, Consumables, Contingency, Manpower, Travel, Overhead"
What are the 3 key funds along which the overhead costs are distributed?," The 3 key funds along which the overhead costs are distributed are:

1. Human Resource (HRA) expenses
2. Contingency expenses
3. Departmental assistance expenses."," The 3 key funds along which the overhead costs are distributed are:

1. Professional Development Fund (PDF)
2. Department Development Fund (DDF)
3. Campus Development Fund (CDF)

The distribution of these funds is mentioned in the GCIR SOP Hyd 11oct table26.","the Professional Development Fund (PDF), the Department Development Fund (DDF), and the Campus Development Fund (CDF)."
"What are the allocation percentages for Professional Development Fund (PDF), the Department Development Fund (DDF), and the Campus Development Fund (CDF) given that the overhead is less than 10% of the total budget?"," Unfortunately, the given tables do not provide sufficient information to determine the allocation percentages for the Professional Development Fund (PDF), the Department Development Fund (DDF), and the Campus Development Fund (CDF) based on the condition that the overhead is less than 10% of the total budget. The tables only provide information about the names of the candidates, their proposed topics, supervisors, DAC members, dates and times, and the venue of the PhD proposal seminar, as well as information about fellowship details, approval dates, and other related details. To determine the allocation percentages for the different funds, additional information about the total budget and the specific amounts allocated to each fund would be required."," To ensure that the overhead is less than 10% of the total budget, we need to consider the combined percentage of the PDF, DDF, and CDF.

According to the table26 in GCIR SOP Hyd 11oct, the PDF has a 40% allocation, the DDF has a 20% allocation, and the CDF has a 40% allocation.

Adding these percentages together, we get 100%.

Therefore, the allocation percentages for the PDF, DDF, and CDF need to be adjusted to ensure that the overhead is less than 10% of the total budget. One possible solution could be reducing the allocation percentages of the PDF and DDF slightly and increasing the allocation percentage of the CDF, while still keeping the total allocation percentage below 100%. However, this would depend on the specific requirements and priorities of the research project and institution.","40%, 20%, 40%"
"What are the allocation percentages for Professional Development Fund (PDF), the Department Development Fund (DDF), and the Campus Development Fund (CDF) given that the overhead is more than 10% of the total budget?"," Given that the overhead is more than 10% of the total budget, the allocation percentages for Professional Development Fund (PDF), the Department Development Fund (DDF), and the Campus Development Fund (CDF) cannot be determined without additional information. The overhead must first be accounted for, and the remaining budget must be distributed among the three funds according to the institution's policies or decisions."," Based on the provided table, the allocation percentages for Professional Development Fund (PDF), Department Development Fund (DDF), and Campus Development Fund (CDF) are 40%, 20%, and 40% respectively. However, it is important to note that the overhead is more than 10% of the total budget, which means that these percentages are subject to adjustment. The exact allocation percentages will depend on the specific requirements of the research project and the budget constraints.","60%, 20%, 20%"
What activities does the professional development fund support?," The professional development fund supports various activities such as attending conferences, workshops, and training programs. The fund may also be used for research-related expenses, such as purchasing equipment or materials. Additionally, the fund may be used for travel expenses to participate in events or to visit potential research collaborators. The fund may also support networking activities and the development of professional skills. The application process for the fund typically involves submitting a proposal outlining the proposed activities and their expected outcomes."," The professional development fund supports activities such as fellowship advance, contingency grant for self-project, and institute travel grant for research scholars.","Membership and conferences, Educational Materials and Equipment, Hardware Purchases, Research Assistance, Local Hospitality, Short-Term Courses and Training, Travel Support, Experimental Work, Professional Development Programs "
What are the consulting restrictions for consulting activities for faculty members?, The provided context and table do not mention any consulting restrictions for faculty members., No consulting restrictions for faculty members are mentioned in the provided context.,"No consulting activity should: � Interfere with Faculty Obligations: Detract from the faculty�s ability to fulfill BITS Pilani�s obligations. � Restrict Academic and Research Activities: Restrict or limit the faculty�s ability to pursue their academic and/or research activities at BITS Pilani due to confidentiality terms, limited access to intellectual property, or other constraints. � Impair Intellectual Property Rights: Give away rights or assign intellectual property that is already owned by and assigned to BITS Pilani. Faculty members should be vigilant about any provisions, such as confidentiality intellectual property (IP), or non-competition clauses, that might restrict their current or future research and academic activities as institute faculty members. "
What are the key steps involved in submitting a new research proposal?," The key steps involved in submitting a new research proposal are:

1. Format forwarding research proposal
2. Outline of the research proposal
3. Appendices
4. Evaluation sheet
5. Notice of research proposal presentation
6. Bio-data and consent of Co-supervisor (if applicable)"," The key steps involved in submitting a new research proposal are:

1. Write a summary research proposal that includes your proposed topic, objective, background, methodology, and expected outcome.

2. Identify a research work organization and a proposed supervisor who can support your research.

3. Format the proposal according to the requirements of the organization and ensure that it includes the necessary information such as consent, organization, and date.

4. Submit the proposal to the organization, following any specific guidelines or requirements for submitting research proposals.

5. Once the proposal is accepted, you can begin your research work and carry out the necessary infrastructural and technical technical facility requirements.","Access the GCIR website, navigate to the proposal submission section, complete the submission form, upload required documents, obtain the endorsement certificate, and finalize the submission. "
What documents are required for submitting a consultancy proposal?," The documents required for submitting a consultancy proposal are not specified in the provided context. However, based on the context, documents such as a research proposal, appendix, and evaluation sheet are necessary for submitting a PhD research proposal. Additionally, if a co-supervisor is not a BITS faculty, bio-data and consent of the co-supervisor's organization permitting him to act as co-supervisor may also be required (Appendix 4 & 5)."," To submit a PhD research proposal, the required documents are:

1. Summary Research Proposal (1-2 pages)
2. Outline Research Proposal (10-12 pages)
3. Appendices (as applicable)
4. Evaluation sheet by DAC member
5. Notice of Research Proposal Presentation
6. Bio-data & Consent of Co-Supervisor's Organization (if Co-supervisor is not a BITS faculty)
7. Format for forwarding the research proposals
8. Appendices I (to be attached with research proposals)

Note: The specific documents and guidelines may vary depending on the organization and academic institution. It is important to carefully review the requirements and submit all necessary documents in the correct format to ensure a successful proposal submission.","A consultancy proposal draft, Note for Approval (NFA), and any additional required agreements such as MoUs or NDAs."
How many working days are required for the issuance of an endorsement certificate?, The number of working days required for the issuance of an endorsement certificate is not provided in the context., The information provided does not specify the number of working days required for the issuance of an endorsement certificate.,2-3 working days
How many days per year can faculty members allocate for consultancy projects?," The number of days per year that faculty members can allocate for consultancy projects varies depending on the institution and individual policies. However, it is common for faculty members to be allowed a certain number of days per academic year for consultancy work, typically ranging from 1-5 days per year. It is recommended to check with your institution's policy for the specific allocation for consultancy projects.", The question does not provide any information about the number of days per year that faculty members can allocate for consultancy projects.,Up to 52 working days per year.
How many types of budget heads are there for industry-sponsored projects?," Based on the provided context, there are several types of budget heads that may be involved in an industry-sponsored project. These include:

1. Registration fee
2. Travel expense
3. Accommodation
4. Food
5. Total travel expense
6. Total expenses (including accommodation and food)
7. Financial involvement"," Based on the provided context, it does not mention the number of budget heads for industry-sponsored projects.","There are at least six: equipment, consumables, contingency, manpower, travel, and overhead costs."
When should a PI submit the final proposal to a funding agency?, The final proposal should be submitted to a funding agency when it is required in the funding agency's guidelines or when the research is ready to begin.," The final proposal should be submitted by the principal investigator to the funding agency when the funding agency has specifically requested it or when the funding agency has announced a deadline for submission. The final proposal should be submitted when all necessary information, data, and documentation required by the funding agency has been included.",After obtaining the endorsement certificate from the GCIR office.
When can research scholars apply for an experience certificate or relieving letter?," According to the context provided, research scholars can apply for an experience certificate or relieving letter after they have completed their research work and obtained their degree. The process for obtaining an experience certificate or relieving letter may vary depending on the specific research project and university guidelines. However, it is stated that research personnel joining a sponsored research project at Pilani are required to hold a net gate equivalent certification and undergo a rigorous interview process. Once they have completed their research work and obtained their degree, they can apply for an experience certificate or relieving letter as per the guidelines of their university."," Research scholars can apply for an experience certificate or relieving letter after completing their research project or fulfilling their contractual obligations as per the guidelines provided by their institution. The application process typically involves submitting an application form and providing relevant documentation, such as proof of completion of the research project or fulfillment of contractual obligations. The specific timeline for applying may vary depending on the institution and the individual research scholar's circumstances. It is recommended to check with the institution's policy or consult with a HR representative for more information.",After completing their project tenure or upon resignation.
When must travel approvals be obtained for using project funds?," Travel approvals must be obtained before using project funds for travel purposes. This is specified in the application form for the institute travel grant research scholarship, which states that the applicant must submit a form with the necessary details, including the purpose of the travel, the destination, the financial involvement, and the expected outcome of the travel. The application must also be approved by the relevant authorities before any travel expenses can be reimbursed using project funds.", Travel approvals are not explicitly mentioned in the provided context. It is recommended to refer to the institution's travel policy or guidelines for details on when travel approvals are required.,"Before undertaking any travel, a request must be submitted to the GCIR office for approval."
How is time commitment for consultancy projects regulated?, Time commitment for consultancy projects is not specified in the provided context., The context does not provide information on how time commitment for consultancy projects is regulated.,Faculty members must ensure that consultancy work does not interfere with their academic responsibilities and is limited to one working day per week.
How is overhead cost distributed among different funds?," Overhead cost is not distributed among different funds in the provided context as it is not mentioned in the form for claiming reimbursement contingency grant self-sponsored fellowship. The form only includes information about the student's name, ID, department, PhD area, detail item purchased, cash amount paid, and recommended signature.", Overhead cost is distributed among different funds based on the percentage allocated to each fund in the GCIR SOP Hyd 11oct table26. The overhead cost is added to the total charges in the GCIR SOP Hyd 11oct table8 and is calculated as 18% of the gross charges.,"Overhead costs are allocated among the Professional Development Fund (PDF), Department Development Fund (DDF), and Campus Development Fund (CDF) based on a set percentage."
How is a research scholar appointed after project approval?," A research scholar is appointed after project approval through the following steps:

1. Research Proposal: The first step is to submit a research proposal that outlines the research objectives, methodology, and expected outcomes.
2. Selection Process: The selection process involves a rigorous interview process, which may involve external members, to select the research fellow for the project.
3. Required Qualification: The applicant must hold a postgraduate degree or a basic science graduate degree or a professional course.
4. Initial Recruitment: The initial recruitment is for the position of Junior Research Fellow (JRF) and is done on a monthly basis. The fellowship amount per month may vary.
5. Upgradation: After two years, the JRF may be upgraded to the position of Senior Research Fellow (SRF) if recommended by the institute committee and successfully assessed by external experts. The fellowship amount per month may increase upon receiving the SRF status.
6. Annual Assessment: The institute requires annual assessments to ensure that the research work is progressing satisfactorily.
7. Consent and Supervision: The supervisor provides a letterhead with an official seal and signs an official certificate, which permits the research work towards a degree.

Overall, the appointment of a research scholar requires a series of steps, including the submission of a research proposal, the selection process, the required qualification, initial recruitment, upgradation, annual assessment, and consent and supervision."," A research scholar is appointed after project approval through a rigorous interview process and selection process. The principal investigator (PI) follows the institute's norms, and the research fellow is upgraded to the status of senior research fellow (SRF) if recommended by the institute committee, which includes an external expert. The annual assessment is mandatory, and the fellowship benefit continues as long as the research scholar's performance is satisfactory. The principal investigator must obtain formal approval from the funding agency before initiating the recruitment process.

In addition to the above process, a contingency approval form is also required for research studies. The form includes the research fellow's name, ID number, supervisor name, department head, account details, and a total amount. The form must be signed by the supervisor and the student, and the necessary action must be taken based on the form's approval.

Finally, the research scholar's status can be converted from project fellow to institute fellow, which involves a recommendation from the institute's study research division. The conversion is subject to the approval of the institute's committee and the funding agency. The candidate must be perused, and necessary action must be taken based on the recommendation."," After receiving project approval, an advertisement is issued, followed by the shortlisting of candidates, conducting interviews, and final selection with an offer letter."
