query,answer,reference
What steps should be taken in case of a change in supervisor of a PhD student?," If a PhD student's supervisor changes, the student should inform their department and the supervisor should confirm their willingness to continue as the supervisor. If the new supervisor is not a faculty member of the department, the student should submit the Bio-data and Consent of the new supervisor's organization permitting them to act as a co-supervisor (Appendix 4 & 5).","A fresh approval of the University level Doctoral Counseling Committee based at Pilani, is required for any changes in topic of research and/or supervisor. Candidate has to request through supervisor and DRC to Associate Dean AGSRD, who will forward the request to Dean, AGSRD for approval of DCC/Research Board."
"For submitting an industry research proposal, what are the different budget heads?", The context does not provide information about budget heads for submitting an industry research proposal.,"Equipment, Consumables, Contingency, Manpower, Travel, Overhead"
What are the 3 key funds along which the overhead costs are distributed?," The 3 key funds along which the overhead costs are distributed are:

* Salary expense
* Meeting expense
* Contingency expense

These funds are mentioned in the academic graduate study research division form 1 bit pilani campus date request advance towards fellowship under the section ""Purpose Advance Requirement Detail"".","the Professional Development Fund (PDF), the Department Development Fund (DDF), and the Campus Development Fund (CDF)."
"What are the allocation percentages for Professional Development Fund (PDF), the Department Development Fund (DDF), and the Campus Development Fund (CDF) given that the overhead is less than 10% of the total budget?",,"40%, 20%, 40%"
"What are the allocation percentages for Professional Development Fund (PDF), the Department Development Fund (DDF), and the Campus Development Fund (CDF) given that the overhead is more than 10% of the total budget?"," When the overhead is more than 10% of the total budget, the allocation percentages for the Professional Development Fund (PDF), the Department Development Fund (DDF), and the Campus Development Fund (CDF) would depend on the specific budget allocations and need to be calculated based on the available funds after paying the overhead. Without additional information on the specific budget allocations and overhead costs, it is difficult to provide exact allocation percentages. It may be helpful to consult with the relevant financial office or department for more information.","60%, 20%, 20%"
What activities does the professional development fund support?," The professional development fund supports activities such as attending conferences and workshops, participating in seminars and symposiums, presenting papers or posters, and pursuing research projects. It also supports travel expenses and accommodation-related costs for such activities.","Membership and conferences, Educational Materials and Equipment, Hardware Purchases, Research Assistance, Local Hospitality, Short-Term Courses and Training, Travel Support, Experimental Work, Professional Development Programs "
What are the consulting restrictions for consulting activities for faculty members?,,"No consulting activity should: � Interfere with Faculty Obligations: Detract from the faculty�s ability to fulfill BITS Pilani�s obligations. � Restrict Academic and Research Activities: Restrict or limit the faculty�s ability to pursue their academic and/or research activities at BITS Pilani due to confidentiality terms, limited access to intellectual property, or other constraints. � Impair Intellectual Property Rights: Give away rights or assign intellectual property that is already owned by and assigned to BITS Pilani. Faculty members should be vigilant about any provisions, such as confidentiality intellectual property (IP), or non-competition clauses, that might restrict their current or future research and academic activities as institute faculty members. "
What are the key steps involved in submitting a new research proposal?,,"Access the GCIR website, navigate to the proposal submission section, complete the submission form, upload required documents, obtain the endorsement certificate, and finalize the submission. "
What documents are required for submitting a consultancy proposal?," The documents required for submitting a consultancy proposal are:

1. Summary research proposal (1 page)
2. Outline research proposal (10-12 pages)
3. Appendices duly signed by the supervisor
4. Consent organization permitting the research work (Appendix 5)
5. Notice of the research proposal presentation (Appendix 6)

Note: If the co-supervisor is not a BITS faculty, additional documents such as Bio-data & Consent of Co-Supervisor's Organization permitting him to act as Co-Supervisor (Appendix 4 & 5) are required.","A consultancy proposal draft, Note for Approval (NFA), and any additional required agreements such as MoUs or NDAs."
How many working days are required for the issuance of an endorsement certificate?," The information provided does not specify the number of working days required for the issuance of an endorsement certificate. However, it does mention that a letterhead with an official seal and signature is required, which may take some time to obtain and produce. Additionally, the endorsement certificate may need to be reviewed and signed by various officials before it can be issued. It is recommended to contact the relevant organization or supervisor for more information on the timeline for issuing the endorsement certificate.",2-3 working days
How many days per year can faculty members allocate for consultancy projects?," The number of days per year that faculty members can allocate for consultancy projects varies depending on the institution and the specific terms of their employment contracts. However, it is common for faculty members to be allowed a certain number of days each year for consultancy work, typically ranging from 1-5 days per year. It is recommended to refer to the institution's policies and the specific employment contract of the faculty member for more accurate information.",Up to 52 working days per year.
How many types of budget heads are there for industry-sponsored projects?," Based on the provided context, there are no specific details regarding the budget heads for industry-sponsored projects. However, the context includes questions related to the financial involvement for the travel grant and registration fees for the conference. The context also mentions the ""total travel expense"" and ""accommodation and food"" expenses, which may be relevant to the budget for industry-sponsored projects. It would be best to consult the specific guidelines or requirements provided by the sponsoring organization for more information on the budget heads for industry-sponsored projects.","There are at least six: equipment, consumables, contingency, manpower, travel, and overhead costs."
When should a PI submit the final proposal to a funding agency?, The question does not provide enough context to determine the answer.,After obtaining the endorsement certificate from the GCIR office.
When can research scholars apply for an experience certificate or relieving letter?," According to the provided context, research scholars who have completed their research work and obtained a Ph.D. degree can apply for an experience certificate or relieving letter after they have received their certificate. The application process is usually done by submitting an application form to the university's human resources department along with the required documents. The certificate or relieving letter will be issued only after the research scholar has completed their research work, passed their final exams, and received their Ph.D. degree.",After completing their project tenure or upon resignation.
When must travel approvals be obtained for using project funds?," When using project funds for travel, approvals must be obtained from the relevant authority, such as the dean or head of the department, before making any travel plans. The approval process typically involves submitting a travel grant application with relevant details such as the purpose of the trip, the destination, the dates of travel, the financial involvement, and any other necessary information.","Before undertaking any travel, a request must be submitted to the GCIR office for approval."
How is time commitment for consultancy projects regulated?," The provided context discusses time limits for submitting a PhD thesis and extension requests for the same, but it does not provide any information on how time commitment for consultancy projects is regulated.",Faculty members must ensure that consultancy work does not interfere with their academic responsibilities and is limited to one working day per week.
How is overhead cost distributed among different funds?," Overhead cost is not distributed among different funds in the given context. The context only includes information about a contingency grant, self-sponsored fellowship, and purchases made with the funds. There is no information about how overhead costs are allocated among these different funds.","Overhead costs are allocated among the Professional Development Fund (PDF), Department Development Fund (DDF), and Campus Development Fund (CDF) based on a set percentage."
How is a research scholar appointed after project approval?," After project approval, a research scholar is appointed through a rigorous interview process. The principal investigator follows the institute's norm and involves external members in the interview process to enhance credibility. The required qualification for the appointment is a postgraduate degree or a basic science graduate degree, and a professional course. The initial recruitment is for a junior research fellow (JRF) position, which is recruited monthly on the basis of a fellowship. The fellowship amount is provided per month, and the JRF can be upgraded to a senior research fellow (SRF) after two years of external assessment. The SRF scholarship amount is increased per month upon successful recommendation by the institute committee, which must include an external expert. The appointment is exclusive to enrolled students of the Bit Pilani program, and an annual assessment is mandatory to ensure satisfactory progress. The principal investigator must obtain formal approval and concurrence from the relevant funding agency before initiating the recruitment process for the research fellow funded research project."," After receiving project approval, an advertisement is issued, followed by the shortlisting of candidates, conducting interviews, and final selection with an offer letter."
What are the eligibility criteria for the admission in Full Time Ph.D programme?," The eligibility criteria for Full Time Ph.D Programme are as follows:

1. Application: The candidate must submit an application for the Ph.D Programme.
2. Highest Qualification: The candidate must have the highest qualification, such as a Master's degree, from a recognized university.
3. Official Address: The candidate must provide an official address, along with their PIN and phone number, for correspondence.
4. Academic Record: The candidate must provide an academic record of their formal education, including any degree they hold beyond the Master's degree, duration, and year of passing.
5. Higher Degree: The candidate must hold a higher degree, equivalent or not, from a recognized university, and provide a certificate to verify the same.
6. Permission: The candidate must have the necessary permission to appear for the Ph.D Qualifying Examination.
7. Ph.D Qualifying Examination: The candidate must appear for the Ph.D Qualifying Examination, which includes both theory and viva voce.
8. Selected Topic: The candidate must propose a topic for their research and identify a qualified supervisor to guide them through the research process.
9. Organizational Position: The candidate must be employed in a research organization or academic institution.
10. Nationality: The candidate must be a citizen of India or have a valid Indian passport.

The candidate must present all the necessary documents, such as the application form, academic record, higher degree certificate, and Ph.D Qualifying Examination evaluation sheet, along with their signature.","(i) M.E/M.Pharm./MBA/ M.Phil of BITS or its equivalent with a minimum of 60% aggregate. (ii) Candidate with an M Sc/B.E or an equivalent with a minimum of 60% will also be considered for provisional admission to the Ph D programme. (iii) For Ph D programme in languages and humanities, candidates with an M.Phil/M A and with minimum of 55% aggregate may also be considered. Such candidates have to undergo a minimum of two semester course work prescribed by DRC.  "
 What are the eligibility criteria for the admission in Part Time/Aspirant Ph.D programme?," The eligibility criteria for the admission in Part Time/Aspirant Ph.D programme are not explicitly mentioned in the context provided. However, it is mentioned that the candidate must have completed a PhD qualifying examination in two areas of research, and the document attached with the result can be used as proof of their qualifications.","A person working in reputed research organizations, academic Institutes and industries, situated preferably in the close vicinity of one of the campuses of BITS Pilani, can be admitted on part time basis provided (i) the candidate is working in an organization which encourages and facilitates research (ii) candidate meets the requisite minimum qualification for admission to Ph. D programme of BITS Pilani as mentioned in (a), (b) or (c) (iii) candidate has minimum of one year work experience in related field, and (iv) candidate furnishes a ""consent & no objection certificate""  from his/her parent organization. Industries and R & D Organizations collaborating with BITS can sponsor candidates to work for Ph.D under the Ph.D Aspirants Scheme. Under this Scheme such Employed professionals working in Industries and R&D Organizations having long experience and proven competence aspiring for Ph.D. programme will be considered and will be allowed to pursue their research at their own locations of work. They will choose one BITS faculty as supervisor and or as co-supervisor. "
 Can you please tell about the PhD stipend? ," Based on the provided context, it appears that the question is asking about the PhD stipend. However, the context does not provide information about the PhD stipend. The context provides information about a PhD application process, including the format of the application, the qualifying examination, academic records, and a proposed plan for the PhD program. If you have any further questions or need more information, please let me know.","1. Depending on the availability, student will be provided fellowship stipend either from BITS or from sponsored projects. 2. Student can avail fellowship provided by National funding agencies such as UGC, CSIR, DBT, DST, ICMR etc. Note that the Institute fellowship stipend to the Ph.D. student admitted after 1st Aug 2011 or later will be limited for first five years from the date of admission in the PhD programme. "
"Sir, I got admitted in the Institute PhD programme in  August,2011 with Institute fellowship.  How long will I get the Institute fellowship support?", The length of time you will receive Institute fellowship support is not specified in the given context. It is recommended to refer to the specific guidelines and terms of the fellowship program you were admitted to for more information.,"You will get the Institute fellowship support till July,2016."
Can you please say something about the availability of hostel accommodation of PhD scholars?," Context:

* The Birla Institute of Technology and Science (BITSPILANI) campus offers academic graduate study research (AGSRD) format for its PhD scholars.
* The institute supports PhD students for their entire program, and eligible students can apply for leave policies such as casual leave, special casual leave, duty leave, maternity leave, and more.
* The institute has operational guidelines and recording/monitoring attendance responsibilities in place.
* The supervisor is responsible for granting leave, and the Director of Research Council (DRC) is approved for casual leave and special casual leave.
* The institute has a holiday schedule, and other leave policies, including clubbed leaves and duty leaves, are permissible for attending training programs and more.
* Medical reasons are accommodated, and prolonged medical leave is allowed without pay for a maximum period of one year.
* The entire duration of the PhD program is applicable for leave policies, and PhD students receiving fellowships, including those sponsored by funding agencies, are subject to the applicable policy.
* Institutes receive fellowships from various funding agencies, and the Dean of Academic Graduate Studies and Research (DAGSRD) is responsible for continuation and final thesis submission of PhD scholars.

Availability of hostel accommodation:
The availability of hostel accommodation for PhD scholars at BITSPILANI is not specified in the provided context. It is recommended to contact the institute's housing office or the specific department responsible for providing accommodation for more information.",Accommodation to Full Time PhD scholars in hostels is subject to the availability of rooms in hostels. Students with self-sponsored project fellowship can get their HRA and stay outside.
Can you please give some ideas about the leave that a PhD student can avail?," A PhD student at BITS Pilani can avail of the following types of leave:

* Casual leave (maximum 30 days)
* Special casual leave (maximum 15 days)
* Duty leave (maximum 90 days)
* Maternity leave (maximum 180 days for female candidates)
* Leaves for attending training programs, conferences, etc.

The duration of the leave and whether it is approved or not will depend on the specific circumstances and the leave policy of the institute. It is recommended to refer to the BITS Pilani academic graduate studies and research leave policy for more details.","Each �Full- Time� candidate is eligible for 30 days of vacation and 15 days of casual leave in an academic year (August to July). Special casual leave of 15 days is permissible for attending conferences/workshop/symposiums/training programmes, etc. For female candidates, maternity leave of 90 days is permitted. "
What is the duration of the PhD programme?, The duration of the PhD programme is not mentioned in the provided context.,"A student must submit his thesis within ten semesters (excluding summer terms) to be counted from the semester next to passing the qualifying examination. If the student fails to submit his thesis within stipulated period he may request the respective DRC for extension of time. Such extension for submission of thesis are limited to a maximum of four semesters. Thus, the duration for submitting final thesis (including all extensions and semester withdrawals) are limited to 14 semesters. If a candidate fails to submit his/her final thesis during this period, he/she will be discontinued from the programme. The female candidates who have availed maternity leave during this period may be given one extra semester for thesis submission."
"In case I get a job, can I switch over from Full Time to Part Time PhD programme?"," Yes, if you are currently in a full-time PhD programme and you get a job, you can switch over to a part-time PhD programme. However, you will need to submit an application to the university and go through a qualifying examination before you can be considered for a part-time PhD programme. The requirements for a part-time PhD programme may vary depending on your university and department, so you should check with your supervisor or the department for more information.","Yes. A student admitted as Full Time scholar may be allowed to take transfer to Part time scheme provided- Students meet the basic eligibility criteria of Part Time student. Student has completed major part of his research work as certified by the supervisor and has completed at least 20 units of Ph D thesis course. The concerned Ph D supervisor, co-supervisor and respective DRC agree for such transfer.  Note: The DRC may also recommend the transfer of a student from Part-Time to Full Time category, provided research positions and stipend are available. Approval for such transfers will be granted by Dean ARD in consultation with DCC. "
"Can you say something(e.g. quality, number..) about the publication of my PhD thesis work?"," Sure, I'd be happy to help. Can you provide me with more information about your PhD thesis work and the publication process you are referring to?","1. Minimum Two publications in peer reviewed journals (as first author in at least one publication) is expected to consist  your PhD thesis chapters.    2. You are encouraged to publish your work in the scopus listed peer-reviewed journals/conference proceedings(as full papers). For the scopus list journals/conference proceedings, you are requested to be in touch with your supervisor(s) or HOD or DRC convener.    3. In case you are the first author in a publication, it is assumed that major portion  of the work is done by you. If there are other PhD student(s) in that publication as second/third author(s)...you need to specify clearly your work/contribution, while mentioning their contribution in that publication  clearly.   4. In case you are the second author in a publication and there are other PhD student(s) as first author and/or third author etc in that publication, you need to mention clearly  your contribution in that publication and report only your contribution in that publication  into your PhD  thesis.    5. In either of the above two cases (Point 2 and/or Point 3)  you need to ensure that  the work reported by you in your PhD thesis, has not already been reported or will not be reported  by the other PhD scholars  in their respective PhD theses.   6. You  may have to  submit a declaration letter stating clearly your contribution(as first or second author) in the case of  joint paper(s) with other PhD student(s)). The letter  is to be duly forwarded by your PhD supervisor (PhD co-supervisor, if any),  HOD and DRC convener and needs to be submitted along with others documents at the time of your final thesis submission.   7. In the case of thesis publication,  if there are no PhD students other than you, you don't have to give the above mentioned declaration letter. "
