query,answer
How is a research scholar appointed after project approval?," A research scholar is appointed after project approval through the following steps:

1. Research Proposal: The first step is to submit a research proposal that outlines the research objectives, methodology, and expected outcomes.
2. Selection Process: The selection process involves a rigorous interview process, which may involve external members, to select the research fellow for the project.
3. Required Qualification: The applicant must hold a postgraduate degree or a basic science graduate degree or a professional course.
4. Initial Recruitment: The initial recruitment is for the position of Junior Research Fellow (JRF) and is done on a monthly basis. The fellowship amount per month may vary.
5. Upgradation: After two years, the JRF may be upgraded to the position of Senior Research Fellow (SRF) if recommended by the institute committee and successfully assessed by external experts. The fellowship amount per month may increase upon receiving the SRF status.
6. Annual Assessment: The institute requires annual assessments to ensure that the research work is progressing satisfactorily.
7. Consent and Supervision: The supervisor provides a letterhead with an official seal and signs an official certificate, which permits the research work towards a degree.

Overall, the appointment of a research scholar requires a series of steps, including the submission of a research proposal, the selection process, the required qualification, initial recruitment, upgradation, annual assessment, and consent and supervision."
What are the eligibility criteria for the admission in Full Time Ph.D programme?," The eligibility criteria for the admission in Full Time Ph.D programme at Birla Institute of Technology, Pilani, Campus, Department of Agro-Engineering, Science and Research are as follows:

1. The candidate must have passed the General Test and the Technical Test from the Joint Entrance Test (JET) conducted by the Indian Institute of Technology, Jodhpur.
2. The candidate must have a first class or second division in their Bachelor's degree in Agricultural or related field.
3. The candidate must have a minimum of 55% marks in their Master's degree.
4. The candidate must have relevant research experience in the field of Agriculture or related field.
5. The candidate must submit an application along with all the required documents and fees by the given deadlines.
6. The candidate must pass the interview and viva-voce conducted by the university.
7. The candidate must have a valid passport.
8. The candidate must satisfy the eligibility criteria as per the rules and regulations of the university.

Note: The above eligibility criteria are subject to change as per the rules and regulations of the university. It is recommended to check the official website of the university for the latest information on eligibility criteria."
 What are the eligibility criteria for the admission in Part Time/Aspirant Ph.D programme?, The eligibility criteria for the admission in Part Time/Aspirant Ph.D programme are not provided in the given context. The context only provides information about the format of the application and evaluation sheet for the Ph.D qualifying examination.
 Can you please tell about the PhD stipend? ," The question is not included in the provided context, so it cannot be answered confidently. It is recommended to provide more information or clarify the question for a more accurate response."
"Sir, I got admitted in the Institute PhD programme in  August,2011 with Institute fellowship.  How long will I get the Institute fellowship support?"," The length of time you will receive Institute fellowship support will depend on the specific terms and conditions of your fellowship. It is recommended that you review the guidelines provided by the Institute and the fellowship agency to determine the duration of your fellowship. If you have any further questions or concerns, you may want to contact the Institute or the fellowship agency for more information."
Can you please say something about the availability of hostel accommodation of PhD scholars?," Regarding the availability of hostel accommodation for PhD scholars, the given context does not provide specific information about hostel accommodation on the Birla Institute of Technology Science Pilani academic graduate study research division campus."
Can you please give some ideas about the leave that a PhD student can avail?," A PhD student can avail of different leave options under BITS Pilani's academic graduate study and research leave policy. These options include casual leave (maximum 30 days), special casual leave (maximum 15 days), duty leave (maximum 90 days), maternity leave (maximum 180 days), and other types of leave approved by the supervisor and the associate dean of academic-graduate studies and research. The student can also apply for leave for attending training programs and other activities. It is important to note that the leave policy is subject to certain conditions, and the student must fulfill their responsibilities and perform their PhD project work without formal agreement during the leave period."
What is the duration of the PhD programme?," The duration of the PhD programme is not explicitly mentioned in the provided context. However, it is possible to determine the duration by looking at the date of the first registration and the date of thesis title approval. The time difference between these two dates gives an estimate of the duration of the program."
"In case I get a job, can I switch over from Full Time to Part Time PhD programme?"," Yes, you can switch over from a Full Time to Part Time PhD programme if you are currently enrolled in a Full Time program. However, you would need to submit a formal request to the relevant authorities and provide a valid reason for the change. You may also need to provide a supportive document and go through a process of review and approval. The process and requirements may vary depending on the university or institution you are enrolled in, so it is important to check with their academic office for more information."
"Can you say something(e.g. quality, number..) about the publication of my PhD thesis work?"," Sure, I can provide some information about the publication of your PhD thesis work. Can you please provide me with the title of your thesis and the name of the institution where you completed it? This will help me to search for any published versions of your work and provide you with more accurate information."
